PERIODO|ESTU_CONSECUTIVO|ESTU_ESTUDIANTE|ESTU_EDAD|ESTU_TIPO_DOCUMENTO|ESTU_PAIS_RESIDE|ESTU_GENERO|ESTU_FECHA_NACIMIENTO|ESTU_ETNIA|ESTU_LIMITA_MOTRIZ|ESTU_LIMITA_CONDICIONESPECIAL|ESTU_LIMITA_SDOWN|ESTU_LIMITA_AUTISMO|COLE_COD_MCPIO_UBICACION|ESTU_RESIDE_MCPIO|ESTU_RESIDE_DEPTO|ESTU_COD_RESIDE_MCPIO|ESTU_ZONA_RESIDE|COLE_COD_DANE_INSTITUCION|COLE_COD_ICFES|COLE_NOMBRE_SEDE|COLE_JORNADA|COLE_GENERO|COLE_CARACTER|COLE_NATURALEZA|COLE_BILINGUE|COLE_CALENDARIO|COLE_AREA_UBICACION|COLE_DEPTO_UBICACION|COLE_MCPIO_UBICACION|ESTU_COD_RESIDE_DEPTO|ESTU_AREA_RESIDE|ESTU_PRIVADO_LIBERTAD|ESTU_ACTUALMENTE_ESTUDIA|ESTU_ANO_TERMINO_BACHILL|FAMI_CUARTOS_HOGAR|FAMI_ESTRATO_VIVIENDA|ESTU_GRADO_CURSA_ACTUALMENTE|ESTU_SE_GRADUO_BACHILLER|FAMI_INGRESO_FMILIAR_MENSUAL|ESTU_MES_TERMINO_BACHILL|FAMI_EDUCA_MADRE|FAMI_EDUCA_PADRE|ESTU_OCUPACION_ACTUAL|FAMI_OCUPA_MADRE|FAMI_OCUPA_PADRE|ESTU_OTRO_PLANTEL|ESTU_COD_OTRO_PAIS_PLANTEL|FAMI_PERSONAS_HOGAR|FAMI_PISOSHOGAR|ESTU_COD_PLANTEL|FAMI_NIVEL_SISBEN|FAMI_AUTOMOVIL|FAMI_COMPUTADOR|FAMI_DVD|FAMI_HORNO|FAMI_MICROONDAS|FAMI_INTERNET|FAMI_LAVADORA|FAMI_NEVERA|FAMI_TELEFONO_FIJO|FAMI_TELEFONO_CELULAR|FAMI_SERVICIO_TELEVISION|ESTU_VECES_ESTADO|ESTU_COD_DEPTO_PRESENTACION|ESTU_COD_MCPIO_PRESENTACION|ESTU_MCPIO_PRESENTACION|ESTU_DEPTO_PRESENTACION|DECIL_LECTURA_CRITICA|DECIL_MATEMATICAS|DECIL_C_NATURALES|DECIL_SOCIALES_CIUDADANAS|DESEMP_INGLES|DECIL_INGLES|DECIL_RAZONA_CUANT|DECIL_COMP_CIUDADANA
20142|PRESABER20142000011|INDIVIDUAL|16|TI|1|M|25/08/1998|||||||PASTO|NARIÑO|52001|10|||||||OTRO||||||52|U|N|4||3|3||N|4||10|4|2|5|9||1|3|4|17687|5|N|S|S|S|N|S|S|S|N|S|S|NINGUNA|52|52001|PASTO|NARIÑO|D09|D10|D10|D10|A2|D10|D10|D10
20142|PRESABER20142000012|ESTUDIANTE|15|TI|1|F|09/11/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|R||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D10|D10|D10|D10|B1|D10|D09|D10
20142|PRESABER20142000013|ESTUDIANTE|15|TI|1|F|30/05/1999|100|||||25386|ANAPOIMA|CUNDINAMARCA|25035|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D07|D04|D06|D02|A1|D08|D08|D03
20142|PRESABER20142000014|ESTUDIANTE|15|TI|1|F|13/04/1999||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D10|D09|D05|A1|D08|D10|D05
20142|PRESABER20142000015|ESTUDIANTE|15|TI|1|F|25/01/1999||||||25386|TENA|CUNDINAMARCA|25797|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|R||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D10|D10|D10|A1|D08|D09|D10
20142|PRESABER20142000016|ESTUDIANTE|18|TI|1|F|14/07/1996|100|||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D09|D08|D10|A1|D09|D09|D10
20142|PRESABER20142000017|ESTUDIANTE|16|TI|1|F|07/12/1997||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D08|D09|D07|D06|A1|D09|D08|D07
20142|PRESABER20142000018|ESTUDIANTE|19|CC|1|F|01/08/1995||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D01|D02|D01|D01|A-|D01|D02|D02
20142|PRESABER20142000019|ESTUDIANTE|15|TI|1|F|09/03/1999||||||25386|TENA|CUNDINAMARCA|25797|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D09|D10|D10|B1|D10|D09|D10
20142|PRESABER20142000020|ESTUDIANTE|16|TI|1|M|30/08/1998||||||25386|TENA|CUNDINAMARCA|25797|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D10|D10|D10|D10|B1|D10|D10|D10
20142|PRESABER20142000021|ESTUDIANTE|16|TI|1|F|10/04/1998||||||25386|SAN ANTONIO DE TEQUENDAMA|CUNDINAMARCA|25645|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D08|D08|D06|A1|D06|D10|D06
20142|PRESABER20142000022|ESTUDIANTE|16|TI|1|M|26/05/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D07|D10|D10|D06|A1|D06|D10|D06
20142|PRESABER20142000023|ESTUDIANTE|16|TI|1|M|06/08/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D06|D08|D06|D05|A1|D09|D08|D03
20142|PRESABER20142000024|INDIVIDUAL|16|TI|1|M|08/07/1998|100||||||JAMUNDI|VALLE|76364|4|||||||OTRO||||||76|U|N|4||3|5||N|6||10|10|2|8|8||1|4|4|9195|5|S|S|S|S|S|S|S|S|S|S|S|NINGUNA|76|76001|CALI|VALLE|D10|D10|D10|D10|B1|D10|D10|D10
20142|PRESABER20142000025|ESTUDIANTE|16|TI|1|M|30/01/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D07|D08|D08|D06|A1|D09|D09|D07
20142|PRESABER20142000026|ESTUDIANTE|15|TI|1|M|15/12/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D10|D10|D10|D10|A2|D09|D10|D10
20142|PRESABER20142000027|ESTUDIANTE|15|TI|1|F|14/07/1999||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D07|D08|D08|D04|A1|D09|D07|D05
20142|PRESABER20142000028|ESTUDIANTE|15|TI|1|F|28/11/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D10|D08|D05|A2|D10|D09|D07
20142|PRESABER20142000029|ESTUDIANTE|16|TI|1|M|16/09/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D07|D09|D10|D06|A1|D09|D10|D05
20142|PRESABER20142000030|INDIVIDUAL|14|TI|1|M|08/08/2000|||||||PASTO|NARIÑO|52001|10|||||||OTRO||||||52|U|N|5||4|3||N|3||10|10|2|5|3||1|4|3|6358|3|S|S|S|S|S|S|S|S|S|S|S|NINGUNA|52|52001|PASTO|NARIÑO|D08|D08|D06|D08|B1|D10|D07|D09
20142|PRESABER20142000031|ESTUDIANTE|17|TI|1|F|21/07/1997|100|||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D05|D04|D08|D08|A2|D09|D05|D07
20142|PRESABER20142000032|INDIVIDUAL|16|TI|1|F|24/08/1998|100||||||CALI|VALLE|76001|4|||||||OTRO||||||76|U|N|4||3|5||N|6||10|9|2|3|8||1|4|4|9195|5|S|S|S|S|N|S|S|S|S|S|S|NINGUNA|76|76001|CALI|VALLE|D07|D06|D09|D09|B1|D10|D05|D07
20142|PRESABER20142000033|ESTUDIANTE|16|TI|1|M|31/08/1998||||||25386|ANAPOIMA|CUNDINAMARCA|25035|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D10|D10|D10|A1|D09|D09|D10
20142|PRESABER20142000034|ESTUDIANTE|14|TI|1|F|05/11/1999||||||25386|EL COLEGIO|CUNDINAMARCA|25245|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25245|EL COLEGIO|CUNDINAMARCA|D10|D09|D07|D09|B1|D10|D10|D10
20142|PRESABER20142000035|ESTUDIANTE|15|TI|1|F|23/12/1998||||||11001|BOGOTÁ D.C.|BOGOTA|11001|9|111001107778|140111|SALUDCOOP SUR (INST EDUC DIST)|M|MIXTO|ACADÉMICO|OFICIAL|N|A|U|BOGOTA|BOGOTÁ D.C.|11|U||||||10|||||||||||||COLEGIO SALUDCOOP SUR (IED)||||||||||||||11|11001|BOGOTÁ D.C.|BOGOTA|D03|D02|D06|D03|A1|D06|D02|D03
20142|PRESABER20142000036|ESTUDIANTE|18|TI|1|F|31/05/1996|100|||||25386|ANAPOIMA|CUNDINAMARCA|25035|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D05|D07|D07|D04|A1|D06|D08|D05
20142|PRESABER20142000037|ESTUDIANTE|15|TI|1|F|20/08/1999|100|||||25386|TENA|CUNDINAMARCA|25797|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D09|D09|D10|D09|A1|D09|D10|D09
20142|PRESABER20142000038|ESTUDIANTE|16|TI|1|F|23/12/1997||||||11001|BOGOTÁ D.C.|BOGOTA|11001|9|111001107778|140111|SALUDCOOP SUR (INST EDUC DIST)|M|MIXTO|ACADÉMICO|OFICIAL|N|A|U|BOGOTA|BOGOTÁ D.C.|11|U||||||10|||||||||||||COLEGIO SALUDCOOP SUR (IED)||||||||||||||11|11001|BOGOTÁ D.C.|BOGOTA|D05|D04|D07|D04|A-|D02|D04|D04
20142|PRESABER20142000039|ESTUDIANTE|15|TI|1|F|23/09/1999||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D10|D10|D10|D10|B1|D10|D10|D10
20142|PRESABER20142000040|ESTUDIANTE|16|TI|1|F|27/06/1998||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D08|D04|D08|D07|A1|D09|D05|D07
20142|PRESABER20142000041|ESTUDIANTE|15|TI|1|F|11/09/1999||||||25386|LA MESA|CUNDINAMARCA|25386|10|325386000685|150771|NUEVO GIMNASIO LOS OCOBOS - SEDE PRINCIPAL|C|MIXTO|ACADÉMICO|NO OFICIAL|N|A|U|CUNDINAMARCA|LA MESA|25|U||||||10|||||||||||||NUEVO GIMNASIO LOS OCOBOS||||||||||||||25|25386|LA MESA|CUNDINAMARCA|D10|D10|D06|D08|B1|D10|D10|D09
20142|PRESABER20142000042|ESTUDIANTE|15|TI|1|M|13/01/1999||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|U||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D08|D09|D09|D06|A1|D08|D10|D07
20142|PRESABER20142000043|ESTUDIANTE|16|TI|1|F|07/03/1998||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|R||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D05|D05|D05|D03|A-|D03|D07|D05
20142|PRESABER20142000044|ESTUDIANTE|17|TI|1|F|28/08/1997||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|R||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D03|D03|D02|D06|A-|D04|D04|D05
20142|PRESABER20142000045|ESTUDIANTE|15|TI|1|M|13/02/1999||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|R||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D10|D08|D08|D06|A-|D05|D09|D07
20142|PRESABER20142000046|ESTUDIANTE|16|TI|1|F|07/07/1998||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|U||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D07|D09|D08|D08|A1|D06|D09|D07
20142|PRESABER20142000047|ESTUDIANTE|16|TI|1|F|19/07/1998||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|R||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D05|D06|D06|D03|A-|D01|D06|D03
20142|PRESABER20142000048|ESTUDIANTE|15|TI|1|M|26/04/1999||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|R||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D06|D09|D06|D05|A-|D02|D09|D05
20142|PRESABER20142000049|ESTUDIANTE|16|TI|1|M|14/03/1998||||||52019|ALBAN (SAN JOSE)|NARIÑO|52019|10|152019000251|011866|INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ|M|MIXTO|TÉCNICO/ACADÉMICO|OFICIAL|N|A|U|NARIÑO|ALBAN (SAN JOSE)|52|U||||||10|||||||||||||INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ||||||||||||||52|52019|ALBAN (SAN JOSE)|NARIÑO|D05|D07|D07|D09|A-|D02|D08|D08
